amount,card,Description,datetime,transaction type,date,YM,category,category_n,cumulative_sum
24.17,6572 [stcpay],sushi art-exit 5,2022-11-29 19:01:00,stcpay transaction,2022-11-29,2022-11,01 restaurant,restaurant,2163.3100000000013
147.31,6572 [stcpay],java time,2022-11-29 08:21:14,stcpay transaction,2022-11-29,2022-11,02 coffee,coffee,2310.6200000000013
283.53,0228,stc pay,2022-11-29 08:46:00,mada transaction,2022-11-29,2022-11,06 stcpay,stcpay,2594.150000000001
120.01,6572 [stcpay],the third element beverag,2022-11-29 08:47:47,stcpay transaction,2022-11-29,2022-11,02 coffee,coffee,2714.160000000001
238.13,6572 [stcpay],shamel food co,2022-11-29 12:06:39,stcpay transaction,2022-11-29,2022-11,01 restaurant,restaurant,2952.290000000001
255.2,6572 [stcpay],zawiat alyasamin,2022-11-30 19:49:44,stcpay transaction,2022-11-30,2022-11,03 market,market,3207.490000000001
200.0,6572 [stcpay],shamel food co,2022-11-30 13:32:27,stcpay transaction,2022-11-30,2022-11,01 restaurant,restaurant,3407.490000000001
90.82,6572 [stcpay],shawarmer alsahafah 36,2022-11-30 21:38:39,stcpay transaction,2022-11-30,2022-11,01 restaurant,restaurant,3498.3100000000013
28.88,6572 [stcpay],altnmyah almstamra gaz st,2022-12-01 17:55:29,stcpay transaction,2022-12-01,2022-12,11 other,other,28.88
279.72,0228,alhassan bakery,2022-12-02 09:47:00,mada transaction,2022-12-02,2022-12,01 restaurant,restaurant,308.6
231.52,6572 [stcpay],theeb rent a car co,2022-12-02 14:16:27,stcpay transaction,2022-12-02,2022-12,11 other,other,540.12
288.01,0228,stc pay,2022-12-02 06:59:00,mada transaction,2022-12-02,2022-12,06 stcpay,stcpay,828.13
218.09,0228,ryan baryan sta,2022-12-03 16:19:00,mada transaction,2022-12-03,2022-12,01 restaurant,restaurant,1046.22
224.48,0228,bawabat alwarod,2022-12-03 17:02:00,mada transaction,2022-12-03,2022-12,11 other,other,1270.7
76.34,6572 [stcpay],equator food co,2022-12-03 09:46:56,stcpay transaction,2022-12-03,2022-12,01 restaurant,restaurant,1347.04
61.87,6572 [stcpay],abdullah abdul hamid bin,2022-12-03 10:41:37,stcpay transaction,2022-12-03,2022-12,11 other,other,1408.91
178.57,6572 [stcpay],shamel food co,2022-12-04 12:30:05,stcpay transaction,2022-12-04,2022-12,01 restaurant,restaurant,1587.48
188.15,0228,luxury,2022-12-04 20:04:00,mada transaction,2022-12-04,2022-12,11 other,other,1775.63
37.23,0228,luxury,2022-12-04 20:04:00,mada transaction,2022-12-04,2022-12,11 other,other,1812.86
172.93,0228,khalid est,2022-12-04 20:20:00,mada transaction,2022-12-04,2022-12,11 other,other,1985.79
247.43,0228,rabea al safwa,2022-12-05 05:46:00,mada transaction,2022-12-05,2022-12,11 other,other,2233.22
28.64,6450,netflix.com,2022-12-05 05:25:00,internet purchase,2022-12-05,2022-12,10 bills,bills,2261.86
243.14,6572 [stcpay],dunkin donuts 10333,2022-12-05 10:11:16,stcpay transaction,2022-12-05,2022-12,02 coffee,coffee,2505.0
94.95,6572 [stcpay],halalah,2022-12-05 20:00:53,stcpay transaction,2022-12-05,2022-12,11 other,other,2599.95
167.86,6572 [stcpay],shamel food co,2022-12-05 13:49:05,stcpay transaction,2022-12-05,2022-12,01 restaurant,restaurant,2767.81
100.84,6572 [stcpay],hanoverian,2022-12-06 22:40:56,stcpay transaction,2022-12-06,2022-12,11 other,other,2868.65
271.22,0228,luxury,2022-12-06 18:51:00,mada transaction,2022-12-06,2022-12,11 other,other,3139.87
173.01,6572 [stcpay],halalah,2022-12-07 14:30:28,stcpay transaction,2022-12-07,2022-12,11 other,other,3312.88
228.91,6572 [stcpay],shiro,2022-12-07 14:15:15,stcpay transaction,2022-12-07,2022-12,01 restaurant,restaurant,3541.79
180.43,0228,hala,2022-12-07 14:28:00,mada transaction,2022-12-07,2022-12,11 other,other,3722.22
242.23,6572 [stcpay],halalah,2022-12-08 08:12:35,stcpay transaction,2022-12-08,2022-12,11 other,other,3964.45
-5247.200000000001,account,شركة علوم البيانات لتقنية المعلومات,2022-12-08 14:09:00,salary,2022-12-08,2022-12,11 other,other,-1282.750000000001
70.5,0228,luxury,2022-12-08 19:19:00,mada transaction,2022-12-08,2022-12,11 other,other,-1212.250000000001
290.09,6572 [stcpay],halalah,2022-12-09 09:23:16,stcpay transaction,2022-12-09,2022-12,05 laundry,laundry,-922.160000000001
210.52,6572 [stcpay],shabyat almualem resturan,2022-12-09 09:53:21,stcpay transaction,2022-12-09,2022-12,01 restaurant,restaurant,-711.6400000000009
131.16,6572 [stcpay],kokh alyasmeen restorant,2022-12-09 18:28:26,stcpay transaction,2022-12-09,2022-12,01 restaurant,restaurant,-580.4800000000009
64.34,0228,fresh juices be,2022-12-09 18:32:00,mada transaction,2022-12-09,2022-12,01 restaurant,restaurant,-516.1400000000009
65.08,6572 [stcpay],saudi ripley's kittobi co,2022-12-10 14:41:26,stcpay transaction,2022-12-10,2022-12,11 other,other,-451.0600000000009
289.67,6572 [stcpay],danube 134,2022-12-10 14:47:09,stcpay transaction,2022-12-10,2022-12,03 market,market,-161.3900000000009
100.6,0228,khalid est,2022-12-10 12:56:00,mada transaction,2022-12-10,2022-12,11 other,other,-60.7900000000009
272.79,6572 [stcpay],shamel food co,2022-12-11 12:11:10,stcpay transaction,2022-12-11,2022-12,01 restaurant,restaurant,211.99999999999912
239.76,0228,stc pay,2022-12-11 15:27:00,mada transaction,2022-12-11,2022-12,06 stcpay,stcpay,451.7599999999991
102.1,6572 [stcpay],wooden bakery,2022-12-11 17:35:36,stcpay transaction,2022-12-11,2022-12,01 restaurant,restaurant,553.8599999999991
140.98,6572 [stcpay],zawakher alyam co,2022-12-11 22:12:51,stcpay transaction,2022-12-11,2022-12,11 other,other,694.8399999999991
124.05,6572 [stcpay],zawakher alyam co,2022-12-11 21:31:15,stcpay transaction,2022-12-11,2022-12,11 other,other,818.8899999999991
266.74,6572 [stcpay],zawiat alyasamin,2022-12-12 16:09:46,stcpay transaction,2022-12-12,2022-12,03 market,market,1085.6299999999992
296.74,6572 [stcpay],shamel food co,2022-12-12 12:04:47,stcpay transaction,2022-12-12,2022-12,01 restaurant,restaurant,1382.369999999999
121.32,6572 [stcpay],petro map,2022-12-12 15:52:43,stcpay transaction,2022-12-12,2022-12,04 petrol,petrol,1503.6899999999991
86.95,6572 [stcpay],saudi ripley's kittobi co,2022-12-12 19:14:40,stcpay transaction,2022-12-12,2022-12,11 other,other,1590.6399999999992
222.17,6572 [stcpay],shamel food co,2022-12-13 12:20:08,stcpay transaction,2022-12-13,2022-12,01 restaurant,restaurant,1812.809999999999
20.97,6572 [stcpay],shamel food co,2022-12-14 12:56:23,stcpay transaction,2022-12-14,2022-12,01 restaurant,restaurant,1833.779999999999
123.75,6572 [stcpay],zawiat alyasamin,2022-12-14 18:04:03,stcpay transaction,2022-12-14,2022-12,03 market,market,1957.529999999999
121.36,6572 [stcpay],halalah,2022-12-14 18:23:39,stcpay transaction,2022-12-14,2022-12,11 other,other,2078.889999999999
174.52,[SNB account],إلى: علي الناصر مصرف arab national bank,2022-12-14 21:23:00,immediate transfer,2022-12-14,2022-12,08 investment,investment,2253.409999999999
248.82,6572 [stcpay],zain,2022-12-14 18:37:55,stcpay transaction,2022-12-14,2022-12,10 bills,bills,2502.229999999999
121.42,0228,luxury,2022-12-15 21:23:00,mada transaction,2022-12-15,2022-12,11 other,other,2623.649999999999
124.79,0228,faterah alshawa,2022-12-15 15:39:00,mada transaction,2022-12-15,2022-12,01 restaurant,restaurant,2748.439999999999
172.14,0228,luxury,2022-12-15 21:24:00,mada transaction,2022-12-15,2022-12,11 other,other,2920.579999999999
85.24,6572 [stcpay],zawakher alyam co,2022-12-15 23:29:23,stcpay transaction,2022-12-15,2022-12,11 other,other,3005.8199999999993
299.8,0228,luxury,2022-12-15 21:25:00,mada transaction,2022-12-15,2022-12,11 other,other,3305.619999999999
145.62,6572 [stcpay],redacted!,2022-12-16 00:00:00,stcpay credit,2022-12-16,2022-12,06 stcpay,stcpay,3451.239999999999
200.1,6572 [stcpay],aldrees 738,2022-12-16 15:41:10,stcpay transaction,2022-12-16,2022-12,04 petrol,petrol,3651.3399999999992
188.14,6572 [stcpay],al-hasawi trading est,2022-12-16 19:52:51,stcpay transaction,2022-12-16,2022-12,11 other,other,3839.479999999999
69.5,6572 [stcpay],zawiat alyasamin,2022-12-16 13:57:37,stcpay transaction,2022-12-16,2022-12,03 market,market,3908.979999999999
64.43,0228,stc pay,2022-12-16 19:47:00,mada transaction,2022-12-16,2022-12,06 stcpay,stcpay,3973.409999999999
105.5,6572 [stcpay],alkbsa alhasaweia,2022-12-17 13:45:18,stcpay transaction,2022-12-17,2022-12,01 restaurant,restaurant,4078.909999999999
293.72,6572 [stcpay],coffee factory company,2022-12-17 09:01:41,stcpay transaction,2022-12-17,2022-12,02 coffee,coffee,4372.629999999999
184.44,0228,luxury,2022-12-18 17:12:00,mada transaction,2022-12-18,2022-12,11 other,other,4557.069999999999
251.81,6572 [stcpay],al-washem co,2022-12-18 11:59:11,stcpay transaction,2022-12-18,2022-12,11 other,other,4808.879999999999
69.2,6572 [stcpay],al-hasawi trading est,2022-12-18 21:27:51,stcpay transaction,2022-12-18,2022-12,11 other,other,4878.079999999999
282.62,6572 [stcpay],shamel food co,2022-12-19 12:15:18,stcpay transaction,2022-12-19,2022-12,01 restaurant,restaurant,5160.699999999999
202.06,[SNB account],redacted!,2022-12-19 09:41:00,transfer,2022-12-19,2022-12,9 transfer,transfer,5362.759999999999
23.57,6572 [stcpay],rose water restaurants,2022-12-19 20:48:43,stcpay transaction,2022-12-19,2022-12,01 restaurant,restaurant,5386.329999999999
194.09,6572 [stcpay],dunkin donuts 10333,2022-12-19 12:57:04,stcpay transaction,2022-12-19,2022-12,02 coffee,coffee,5580.419999999999
174.05,[SNB account],إلى: ali hussain alnasser مصرف arab national bank,2022-12-19 09:27:00,immediate transfer,2022-12-19,2022-12,08 investment,investment,5754.469999999999
231.64,0228,patrolu est,2022-12-20 17:27:00,mada transaction,2022-12-20,2022-12,04 petrol,petrol,5986.109999999999
137.29,0228,moroccan evenin,2022-12-20 17:34:00,mada transaction,2022-12-20,2022-12,11 other,other,6123.399999999999
50.14,[SNB account],redacted!,2022-12-20 09:35:00,transfer,2022-12-20,2022-12,9 transfer,transfer,6173.539999999999
100.82,6572 [stcpay],patrolu est,2022-12-20 17:26:03,stcpay transaction,2022-12-20,2022-12,04 petrol,petrol,6274.359999999999
263.87,6572 [stcpay],alebrah and alkeet est,2022-12-21 21:54:38,stcpay transaction,2022-12-21,2022-12,11 other,other,6538.229999999999
209.62,6572 [stcpay],muna almulhim resturant,2022-12-21 20:52:34,stcpay transaction,2022-12-21,2022-12,01 restaurant,restaurant,6747.849999999999
24.47,6572 [stcpay],national parking company,2022-12-21 02:15:45,stcpay transaction,2022-12-21,2022-12,11 other,other,6772.319999999999
96.7,6572 [stcpay],alrasm almuktas co,2022-12-21 09:29:29,stcpay transaction,2022-12-21,2022-12,11 other,other,6869.019999999999
97.13,6572 [stcpay],branch of adnoc shuba 202,2022-12-22 19:20:00,stcpay transaction,2022-12-22,2022-12,04 petrol,petrol,6966.149999999999
262.5,0228,jawharat alnuzh,2022-12-23 19:14:00,mada transaction,2022-12-23,2022-12,03 market,market,7228.649999999999
151.15,6572 [stcpay],landmark arabia co.,2022-12-24 16:57:49,stcpay transaction,2022-12-24,2022-12,03 market,market,7379.799999999999
295.41,0228,stc pay,2022-12-24 16:49:00,mada transaction,2022-12-24,2022-12,06 stcpay,stcpay,7675.209999999999
24.83,6572 [stcpay],diwan al farazdaq station,2022-12-24 10:01:41,stcpay transaction,2022-12-24,2022-12,04 petrol,petrol,7700.039999999999
204.69,0228,jabal kassab tr,2022-12-25 07:42:00,mada transaction,2022-12-25,2022-12,11 other,other,7904.73
198.77,0228,ryan baryan sta,2022-12-25 07:43:00,mada transaction,2022-12-25,2022-12,01 restaurant,restaurant,8103.499999999999
36.72,6572 [stcpay],wadi al nakhel g,2022-12-25 20:40:09,stcpay transaction,2022-12-25,2022-12,11 other,other,8140.219999999999
64.5,0228,holic restauran,2022-12-26 22:12:00,mada transaction,2022-12-26,2022-12,01 restaurant,restaurant,8204.72
215.54,0228,holic restauran,2022-12-26 22:04:00,mada transaction,2022-12-26,2022-12,01 restaurant,restaurant,8420.259999999998
83.95,6572 [stcpay],abdullah abdul hamid bin,2022-12-26 21:42:22,stcpay transaction,2022-12-26,2022-12,11 other,other,8504.21
106.64,6572 [stcpay],hajer center,2022-12-26 21:07:07,stcpay transaction,2022-12-26,2022-12,11 other,other,8610.849999999999
119.69,6572 [stcpay],mohammed shabib alotaibi,2022-12-26 21:08:25,stcpay transaction,2022-12-26,2022-12,11 other,other,8730.539999999999
154.34,0228,jawharat alnuzh,2022-12-27 11:39:00,mada transaction,2022-12-27,2022-12,03 market,market,8884.88
-13828.800000000001,account,salary,2022-12-27 03:48:00,salary,2022-12-27,2022-12,09 salary,salary,-4943.920000000002
35.95,[SNB account],إلى: ali hussain alnasser مصرف arab national bank,2022-12-28 09:07:00,immediate transfer,2022-12-28,2022-12,08 investment,investment,-4907.970000000002
152.5,6572 [stcpay],bazar alqhwah cafe,2022-12-28 00:40:44,stcpay transaction,2022-12-28,2022-12,02 coffee,coffee,-4755.470000000002
178.89,0228,jawharat alnuzh,2022-12-29 20:08:00,mada transaction,2022-12-29,2022-12,03 market,market,-4576.580000000002
78.75,0228,alhassan bakery,2022-12-30 09:11:00,mada transaction,2022-12-30,2022-12,01 restaurant,restaurant,-4497.830000000002
198.83,6572 [stcpay],hesn adyah,2022-12-31 16:57:46,stcpay transaction,2022-12-31,2022-12,11 other,other,-4299.000000000002
273.47,6572 [stcpay],bawabat alwarod resturant,2022-12-31 16:56:48,stcpay transaction,2022-12-31,2022-12,01 restaurant,restaurant,-4025.530000000002
61.85,0228,rabea al safwa,2022-12-31 20:59:00,mada transaction,2022-12-31,2022-12,11 other,other,-3963.680000000002
186.59,6572 [stcpay],al drees 728,2022-12-31 17:03:58,stcpay transaction,2022-12-31,2022-12,04 petrol,petrol,-3777.090000000002
272.71,6572 [stcpay],nour al hana restaurants,2022-12-31 22:20:33,stcpay transaction,2022-12-31,2022-12,01 restaurant,restaurant,-3504.380000000002
91.15,0228,hala,2023-01-01 14:10:00,mada transaction,2023-01-01,2023-01,11 other,other,91.15
200.9,0228,hala,2023-01-02 23:33:00,mada transaction,2023-01-02,2023-01,11 other,other,292.05
185.59,0228,fawal noura bin,2023-01-03 08:50:00,mada transaction,2023-01-03,2023-01,01 restaurant,restaurant,477.64
79.75,0228,hala,2023-01-03 16:25:00,mada transaction,2023-01-03,2023-01,11 other,other,557.39
202.39,6572 [stcpay],danube 134,2023-01-03 17:38:16,stcpay transaction,2023-01-03,2023-01,03 market,market,759.78
174.23,6572 [stcpay],saudi ripley's kittobi co,2023-01-03 17:11:08,stcpay transaction,2023-01-03,2023-01,11 other,other,934.01
271.26,6572 [stcpay],shamel food co,2023-01-03 13:13:22,stcpay transaction,2023-01-03,2023-01,01 restaurant,restaurant,1205.27
76.4,0228,mughasil althaw,2023-01-04 08:32:00,mada transaction,2023-01-04,2023-01,11 other,other,1281.67
79.22,6572 [stcpay],shamel food co,2023-01-04 11:43:58,stcpay transaction,2023-01-04,2023-01,01 restaurant,restaurant,1360.8899999999999
145.09,6572 [stcpay],al-hasawi trading est,2023-01-04 20:22:23,stcpay transaction,2023-01-04,2023-01,11 other,other,1505.98
283.76,6450,netflix.com,2023-01-05 06:10:00,internet purchase,2023-01-05,2023-01,10 bills,bills,1789.74
288.42,6572 [stcpay],maeda zad al sultan,2023-01-06 18:38:12,stcpay transaction,2023-01-06,2023-01,01 restaurant,restaurant,2078.16
197.75,6572 [stcpay],maeda zad al sultan,2023-01-07 15:46:10,stcpay transaction,2023-01-07,2023-01,01 restaurant,restaurant,2275.91
40.28,0228,stc pay,2023-01-08 12:32:00,mada transaction,2023-01-08,2023-01,06 stcpay,stcpay,2316.19
165.2,6572 [stcpay],shamel food co,2023-01-08 12:57:44,stcpay transaction,2023-01-08,2023-01,01 restaurant,restaurant,2481.39
164.34,6572 [stcpay],north star auto spare par,2023-01-09 12:28:58,stcpay transaction,2023-01-09,2023-01,11 other,other,2645.73
272.62,6572 [stcpay],bistro burj alhamam - yas,2023-01-09 14:14:16,stcpay transaction,2023-01-09,2023-01,01 restaurant,restaurant,2918.35
31.73,0228,stc pay,2023-01-09 14:14:00,mada transaction,2023-01-09,2023-01,06 stcpay,stcpay,2950.08
31.91,6572 [stcpay],al ajwad al momayaz for c,2023-01-09 13:46:23,stcpay transaction,2023-01-09,2023-01,11 other,other,2981.9900000000002
123.94,6572 [stcpay],takamol for business serv,2023-01-09 13:22:29,stcpay transaction,2023-01-09,2023-01,11 other,other,3105.93
62.98,6572 [stcpay],zawiat alyasamin,2023-01-09 19:32:51,stcpay transaction,2023-01-09,2023-01,03 market,market,3168.91
215.43,6572 [stcpay],al ajwad al momayaz for c,2023-01-09 12:06:05,stcpay transaction,2023-01-09,2023-01,11 other,other,3384.34
123.8,6572 [stcpay],takamol for business serv,2023-01-09 10:52:27,stcpay transaction,2023-01-09,2023-01,11 other,other,3508.14
231.16,6572 [stcpay],warshat alem alsorah est,2023-01-09 10:44:37,stcpay transaction,2023-01-09,2023-01,11 other,other,3739.3
161.39,6572 [stcpay],dunkin 10195,2023-01-09 12:40:02,stcpay transaction,2023-01-09,2023-01,02 coffee,coffee,3900.69
248.19,6572 [stcpay],takamol for business serv,2023-01-09 12:10:48,stcpay transaction,2023-01-09,2023-01,11 other,other,4148.88
71.44,6572 [stcpay],mtam alfterh aldmsgeh,2023-01-10 23:04:59,stcpay transaction,2023-01-10,2023-01,01 restaurant,restaurant,4220.32
102.98,6572 [stcpay],aldrees 738,2023-01-10 08:29:48,stcpay transaction,2023-01-10,2023-01,04 petrol,petrol,4323.3
60.73,6572 [stcpay],shamel food co,2023-01-10 12:30:08,stcpay transaction,2023-01-10,2023-01,01 restaurant,restaurant,4384.03
278.93,6572 [stcpay],al-hasawi trading est,2023-01-11 16:24:10,stcpay transaction,2023-01-11,2023-01,11 other,other,4662.96
294.43,6572 [stcpay],address cafe,2023-01-11 17:34:48,stcpay transaction,2023-01-11,2023-01,02 coffee,coffee,4957.39
173.35,6572 [stcpay],jarir bookstore,2023-01-11 20:03:44,stcpay transaction,2023-01-11,2023-01,11 other,other,5130.74
154.75,6572 [stcpay],zooba,2023-01-11 08:33:25,stcpay transaction,2023-01-11,2023-01,11 other,other,5285.49
276.24,6572 [stcpay],ahla sear,2023-01-12 17:12:39,stcpay transaction,2023-01-12,2023-01,11 other,other,5561.73
299.75,0228,stc pay,2023-01-12 17:52:00,mada transaction,2023-01-12,2023-01,06 stcpay,stcpay,5861.48
92.58,6572 [stcpay],dywanyt elrabia ltqdym al,2023-01-14 17:00:05,stcpay transaction,2023-01-14,2023-01,11 other,other,5954.06
84.52,6572 [stcpay],zain,2023-01-14 20:57:09,stcpay transaction,2023-01-14,2023-01,10 bills,bills,6038.58
243.49,6572 [stcpay],al drees 728,2023-01-14 17:01:28,stcpay transaction,2023-01-14,2023-01,04 petrol,petrol,6282.07
282.44,[SNB account],إلى: علي الناصر مصرف arab national bank,2023-01-15 09:31:00,immediate transfer,2023-01-15,2023-01,08 investment,investment,6564.51
251.93,6572 [stcpay],shamel food co,2023-01-15 12:23:39,stcpay transaction,2023-01-15,2023-01,01 restaurant,restaurant,6816.44
102.2,6572 [stcpay],zawiat alyasamin,2023-01-15 18:12:20,stcpay transaction,2023-01-15,2023-01,03 market,market,6918.64
73.51,6572 [stcpay],shamel food co,2023-01-16 14:44:15,stcpay transaction,2023-01-16,2023-01,01 restaurant,restaurant,6992.15
263.27,0228,hala,2023-01-16 21:21:00,mada transaction,2023-01-16,2023-01,11 other,other,7255.42
62.34,6572 [stcpay],al-hasawi trading est,2023-01-17 19:17:28,stcpay transaction,2023-01-17,2023-01,11 other,other,7317.76
50.45,0228,hala,2023-01-17 17:20:00,mada transaction,2023-01-17,2023-01,11 other,other,7368.21
254.88,6572 [stcpay],tea strings,2023-01-17 19:11:31,stcpay transaction,2023-01-17,2023-01,11 other,other,7623.09
225.52,6572 [stcpay],shamel food co,2023-01-17 14:08:28,stcpay transaction,2023-01-17,2023-01,01 restaurant,restaurant,7848.61
145.56,6572 [stcpay],zawiat alyasamin,2023-01-17 16:10:29,stcpay transaction,2023-01-17,2023-01,03 market,market,7994.17
29.55,6572 [stcpay],nour al hana restaurants,2023-01-18 14:38:47,stcpay transaction,2023-01-18,2023-01,01 restaurant,restaurant,8023.72
83.31,6572 [stcpay],redacted!,2023-01-18 00:00:00,stcpay credit,2023-01-18,2023-01,06 stcpay,stcpay,8107.03
125.08,6572 [stcpay],nour al hana restaurants,2023-01-18 14:39:08,stcpay transaction,2023-01-18,2023-01,01 restaurant,restaurant,8232.11
38.43,6572 [stcpay],lulu saudi hypermarket ll,2023-01-18 17:38:34,stcpay transaction,2023-01-18,2023-01,03 market,market,8270.54
278.85,6572 [stcpay],maeda zad al sultan,2023-01-18 21:17:05,stcpay transaction,2023-01-18,2023-01,01 restaurant,restaurant,8549.39
160.14,0228,spread,2023-01-19 21:43:00,mada transaction,2023-01-19,2023-01,01 restaurant,restaurant,8709.53
192.73,[SNB account],إلى: علي الناصر مصرف arab national bank,2023-01-19 23:21:00,immediate transfer,2023-01-19,2023-01,08 investment,investment,8902.26
123.34,6572 [stcpay],waynes coffee,2023-01-19 08:17:03,stcpay transaction,2023-01-19,2023-01,02 coffee,coffee,9025.6
257.74,6572 [stcpay],sasco king khalid airport,2023-01-20 15:44:41,stcpay transaction,2023-01-20,2023-01,04 petrol,petrol,9283.34
158.02,6572 [stcpay],mamola pastries est,2023-01-20 15:24:40,stcpay transaction,2023-01-20,2023-01,01 restaurant,restaurant,9441.36
203.83,6572 [stcpay],dining delight co,2023-01-20 15:15:36,stcpay transaction,2023-01-20,2023-01,11 other,other,9645.19
267.46,0228,stc pay,2023-01-20 14:07:00,mada transaction,2023-01-20,2023-01,06 stcpay,stcpay,9912.65
78.05,0228,hala,2023-01-20 11:56:00,mada transaction,2023-01-20,2023-01,11 other,other,9990.7
124.8,0228,national operat,2023-01-20 14:42:00,mada transaction,2023-01-20,2023-01,11 other,other,10115.5
209.71,6572 [stcpay],enjaz al masar laundry fo,2023-01-21 14:59:21,stcpay transaction,2023-01-21,2023-01,11 other,other,10325.21
114.08,6572 [stcpay],jahez,2023-01-21 08:38:51,stcpay transaction,2023-01-21,2023-01,01 restaurant,restaurant,10439.29
26.6,6572 [stcpay],jahez,2023-01-21 17:01:18,stcpay transaction,2023-01-21,2023-01,01 restaurant,restaurant,10465.89
137.02,6572 [stcpay],shamel food co,2023-01-22 14:26:59,stcpay transaction,2023-01-22,2023-01,01 restaurant,restaurant,10602.91
107.58,0228,asia petrol ser,2023-01-23 08:19:00,mada transaction,2023-01-23,2023-01,04 petrol,petrol,10710.49
23.84,0228,fawal othman,2023-01-23 07:42:00,mada transaction,2023-01-23,2023-01,01 restaurant,restaurant,10734.33
226.58,0228,to market,2023-01-23 08:18:00,mada transaction,2023-01-23,2023-01,03 market,market,10960.91
129.21,6572 [stcpay],nour al hana restaurants,2023-01-23 15:54:37,stcpay transaction,2023-01-23,2023-01,01 restaurant,restaurant,11090.12
258.85,6572 [stcpay],shamel food co,2023-01-24 12:33:52,stcpay transaction,2023-01-24,2023-01,01 restaurant,restaurant,11348.97
147.54,5109,al-hasawi trading est,2023-01-24 19:33:00,card transaction,2023-01-24,2023-01,11 other,other,11496.51
39.64,5109,zawakher alyam co,2023-01-24 21:56:00,card transaction,2023-01-24,2023-01,11 other,other,11536.15
158.1,5109,jahez,2023-01-25 17:04:00,internet purchase,2023-01-25,2023-01,01 restaurant,restaurant,11694.25
115.91,5109,jahez,2023-01-25 17:05:00,card transaction,2023-01-25,2023-01,01 restaurant,restaurant,11810.16
-17850.4,account,salary,2023-01-26 03:36:00,salary,2023-01-26,2023-01,09 salary,salary,-6040.240000000002
186.84,[SNB account],إلى: ali hussain alnasser مصرف arab national bank,2023-01-26 08:45:00,immediate transfer,2023-01-26,2023-01,08 investment,investment,-5853.4000000000015
242.49,[SNB account],إلى: علي الناصر مصرف arab national bank,2023-01-26 08:46:00,immediate transfer,2023-01-26,2023-01,08 investment,investment,-5610.910000000002
110.02,5109,shahrukhan,2023-01-26 14:28:00,card transaction,2023-01-26,2023-01,01 restaurant,restaurant,-5500.890000000001
228.99,0228,national operat,2023-01-26 17:34:00,mada transaction,2023-01-26,2023-01,11 other,other,-5271.9000000000015
188.84,0228,arab national bank mubarraz city324sa,2023-01-27 22:00:00,cash withdraw,2023-01-27,2023-01,10 cash_withdraw,cash_withdraw,-5083.060000000001
180.34,[SNB account],redacted!,2023-01-27 23:23:00,transfer,2023-01-27,2023-01,9 transfer,transfer,-4902.720000000001
218.73,[SNB account],redacted!,2023-01-27 21:59:00,transfer,2023-01-27,2023-01,9 transfer,transfer,-4683.990000000002
92.03,5109,dywanyt elrabia ltqdym,2023-01-28 19:28:00,card transaction,2023-01-28,2023-01,11 other,other,-4591.960000000002
299.17,[SNB account],redacted!,2023-01-28 10:01:00,transfer,2023-01-28,2023-01,9 transfer,transfer,-4292.790000000002
215.71,5109,jahez,2023-01-28 22:14:00,card transaction,2023-01-28,2023-01,01 restaurant,restaurant,-4077.0800000000017
191.05,account,redacted!,2023-01-28 20:21:00,transfer,2023-01-28,2023-01,9 transfer,transfer,-3886.0300000000016
250.87,5109,salon qamar alahsa,2023-01-28 10:28:00,card transaction,2023-01-28,2023-01,11 other,other,-3635.1600000000017
241.32,5109,maeda zad al sultan,2023-01-29 21:31:00,card transaction,2023-01-29,2023-01,01 restaurant,restaurant,-3393.8400000000015
185.16,5109,shamel food co,2023-01-29 14:28:00,card transaction,2023-01-29,2023-01,01 restaurant,restaurant,-3208.6800000000017
189.94,5109,maeda zad al sultan,2023-01-29 20:44:00,card transaction,2023-01-29,2023-01,01 restaurant,restaurant,-3018.7400000000016
151.66,5109,al-hasawi trading est,2023-01-30 17:16:00,card transaction,2023-01-30,2023-01,11 other,other,-2867.0800000000017
86.85,5109,shay wasamsim,2023-01-30 21:52:00,card transaction,2023-01-30,2023-01,01 restaurant,restaurant,-2780.2300000000014
285.26,6572 [stcpay],redacted!,2023-01-30 00:00:00,stcpay credit,2023-01-30,2023-01,06 stcpay,stcpay,-2494.9700000000016
217.48,5109,jahez,2023-01-30 11:12:00,card transaction,2023-01-30,2023-01,01 restaurant,restaurant,-2277.4900000000016
36.62,5109,united homeware compan,2023-01-31 21:26:00,card transaction,2023-01-31,2023-01,11 other,other,-2240.8700000000017
92.79,5109,jahez,2023-01-31 21:32:00,card transaction,2023-01-31,2023-01,01 restaurant,restaurant,-2148.0800000000017
127.22,0228,sarah muhammad,2023-01-31 21:42:00,mada transaction,2023-01-31,2023-01,03 market,market,-2020.8600000000015
246.39,5109,nour al hana restauran,2023-02-01 20:57:00,card transaction,2023-02-01,2023-02,01 restaurant,restaurant,246.39
133.64,5109,popeyes,2023-02-01 14:11:00,card transaction,2023-02-01,2023-02,01 restaurant,restaurant,380.03
111.58,5109,shay wasamsim,2023-02-01 21:26:00,card transaction,2023-02-01,2023-02,01 restaurant,restaurant,491.60999999999996
43.82,5109,dar alesnad food servi,2023-02-02 22:52:00,card transaction,2023-02-02,2023-02,01 restaurant,restaurant,535.43
129.17,5109,al-hasawi trading est,2023-02-02 21:05:00,card transaction,2023-02-02,2023-02,11 other,other,664.5999999999999
68.69,5109,nova water,2023-02-03 10:50:00,internet purchase,2023-02-03,2023-02,01 restaurant,restaurant,733.29
